ID,Adj-Matrix,Frequency,Mean-Freq,Standard-Dev,Z-Score,p-Value
12,000002200,0.11765,0.078927,0.022129,1.7498,0.042
12,000001200,0.10294,0.03157,0.018379,3.8832,0
6,000000220,0.10294,0.11058,0.015494,-0.49286,0.658
36,001002000,0.088235,0,0,2.122e-314,0
36,001001000,0.088235,0,0,2.122e-314,0
12,002000010,0.088235,0,0,2.122e-314,0
6,000000210,0.088235,0.125,0.014439,-2.5465,0.988
38,000200220,0.073529,0.045426,0.016676,1.6853,0.028
36,002002000,0.073529,0,0,2.122e-314,0
12,001000010,0.058824,0,0,2.122e-314,0
6,000000110,0.044118,0.033539,0.008532,1.2399,0.005
38,001201000,0.029412,0,0,2.122e-314,0
38,000101200,0.014706,0,0,2.122e-314,0
38,000201100,0.014706,0,0,2.122e-314,0
38,000100220,0.014706,0.0084476,0.0097899,0.63927,0.12
